2025-05-25 21:09:49 ERROR Version:262 -  [DUBBO] Duplicate class org/apache/dubbo/common/Version.class in 2 jar [file:/C:/Users/Administrator/.m2/repository/org/apache/dubbo/dubbo/3.0.9/dubbo-3.0.9.jar!/org/apache/dubbo/common/Version.class, file:/C:/Users/Administrator/.m2/repository/org/apache/dubbo/dubbo-common/3.0.9/dubbo-common-3.0.9.jar!/org/apache/dubbo/common/Version.class], dubbo version: 3.0.9, current host: 192.168.31.169
2025-05-25 21:09:53 INFO  DefaultModuleDeployer:298 -  [DUBBO] Dubbo Module[1.1.0] has stopped., dubbo version: 3.0.9, current host: 192.168.31.169
2025-05-25 21:09:53 INFO  DefaultExecutorRepository:302 -  [DUBBO] destroying application executor repository .., dubbo version: 3.0.9, current host: 192.168.31.169
2025-05-25 21:09:53 INFO  DefaultApplicationDeployer:995 -  [DUBBO] Dubbo Application[1.1](ocean-user-service) has stopped., dubbo version: 3.0.9, current host: 192.168.31.169
2025-05-25 21:09:53 INFO  FrameworkModel:108 -  [DUBBO] Destroying default framework model: Dubbo Framework[1], dubbo version: 3.0.9, current host: 192.168.31.169
2025-05-25 21:09:53 INFO  FrameworkModel:113 -  [DUBBO] Dubbo Framework[1] is destroying ..., dubbo version: 3.0.9, current host: 192.168.31.169
2025-05-25 21:09:53 INFO  DefaultApplicationDeployer:981 -  [DUBBO] Dubbo Application[1.0](DUBBO_INTERNAL_APPLICATION) is stopping., dubbo version: 3.0.9, current host: 192.168.31.169
2025-05-25 21:09:53 INFO  RegistryManager:98 -  [DUBBO] Close all registries [], dubbo version: 3.0.9, current host: 192.168.31.169
2025-05-25 21:09:53 INFO  DefaultModuleDeployer:288 -  [DUBBO] Dubbo Module[1.0.0] is stopping., dubbo version: 3.0.9, current host: 192.168.31.169
2025-05-25 21:09:53 INFO  DefaultModuleDeployer:298 -  [DUBBO] Dubbo Module[1.0.0] has stopped., dubbo version: 3.0.9, current host: 192.168.31.169
2025-05-25 21:09:53 INFO  DefaultExecutorRepository:302 -  [DUBBO] destroying application executor repository .., dubbo version: 3.0.9, current host: 192.168.31.169
2025-05-25 21:09:53 INFO  DefaultApplicationDeployer:995 -  [DUBBO] Dubbo Application[1.0](DUBBO_INTERNAL_APPLICATION) has stopped., dubbo version: 3.0.9, current host: 192.168.31.169
2025-05-25 21:09:53 INFO  FrameworkModel:129 -  [DUBBO] Dubbo Framework[1] is destroyed, dubbo version: 3.0.9, current host: 192.168.31.169
2025-05-25 21:09:53 INFO  FrameworkModel:313 -  [DUBBO] Reset global default framework from Dubbo Framework[1] to null, dubbo version: 3.0.9, current host: 192.168.31.169
2025-05-25 21:09:53 INFO  GlobalResourcesRepository:92 -  [DUBBO] Destroying global resources ..., dubbo version: 3.0.9, current host: 192.168.31.169
2025-05-25 21:09:53 INFO  GlobalResourcesRepository:120 -  [DUBBO] Dubbo is completely destroyed, dubbo version: 3.0.9, current host: 192.168.31.169
2025-05-25 21:09:53 INFO  FrameworkExecutorRepository:175 -  [DUBBO] destroying framework executor repository .., dubbo version: 3.0.9, current host: 192.168.31.169
